agegr,province,gndr,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
15-19,Булган,1,,,,,,,,,,,,,,,,,,0,107,403,530,391,170,116,125,97,44,113,131,0,35,128
15-19,Орхон,0,,,,,,,,,,,,,,,,,,1929,526,743,914,282,580,143,195,390,0,351,236,311,0,48
15-19,Орхон,1,,,,,,,,,,,,,,,,,,362,316,222,1331,167,179,195,336,67,64,50,146,175,140,47
15-19,Өвөрхангай,0,,,,,,,,,,,,,,,,,,3118,1940,1602,2876,1896,1742,1506,1224,1498,1579,902,896,852,473,912
15-19,Өвөрхангай,1,,,,,,,,,,,,,,,,,,2066,1334,1097,1608,1677,990,588,609,720,557,198,155,209,41,572
15-19,Хөвсгөл,0,,,,,,,,,,,,,,,,,,2690,1780,1031,1894,1832,915,922,1252,1152,511,974,1832,710,407,1361
15-19,Хөвсгөл,1,,,,,,,,,,,,,,,,,,1797,1345,604,1372,1223,579,580,973,615,617,31,395,284,317,447
15-19,Говьсүмбэр,0,,,,,,,,,,,,,,,,,,175,200,189,0,40,42,103,68,158,0,156,189,180,0,12
15-19,Говьсүмбэр,1,,,,,,,,,,,,,,,,,,88,0,0,0,20,21,0,0,0,0,17,71,138,19,0
15-19,Дархан-Уул,0,,,,,,,,,,,,,,,,,,353,349,1058,779,312,334,123,125,268,389,276,482,321,114,540
15-19,Дархан-Уул,1,,,,,,,,,,,,,,,,,,457,298,359,637,71,310,116,119,0,132,321,158,54,52,0
15-19,Дорноговь,0,,,,,,,,,,,,,,,,,,243,541,215,548,399,294,338,688,443,345,260,223,676,140,541
15-19,Дорноговь,1,,,,,,,,,,,,,,,,,,234,793,331,611,307,221,90,188,297,101,247,39,40,57,111
15-19,Дундговь,0,,,,,,,,,,,,,,,,,,714,484,562,1177,398,570,733,419,642,502,510,231,383,516,307
15-19,Дундговь,1,,,,,,,,,,,,,,,,,,300,280,330,938,201,420,309,355,242,334,67,105,126,307,74
15-19,Өмнөговь,0,,,,,,,,,,,,,,,,,,732,563,1575,1321,315,694,317,243,303,334,261,572,697,110,329
15-19,Өмнөговь,1,,,,,,,,,,,,,,,,,,618,471,824,593,210,83,181,91,124,160,129,312,36,16,343
15-19,Сэлэнгэ,0,,,,,,,,,,,,,,,,,,1761,1660,1095,550,486,187,386,281,373,488,476,106,96,295,144
15-19,Сэлэнгэ,1,,,,,,,,,,,,,,,,,,1405,639,619,283,174,182,209,227,197,290,80,85,0,18,0
15-19,Төв,0,,,,,,,,,,,,,,,,,,1029,1141,1422,1400,582,1316,1260,428,509,678,490,1436,823,528,247
15-19,Төв,1,,,,,,,,,,,,,,,,,,745,709,1059,962,497,188,726,136,177,442,518,595,317,38,180
15-19,Дорнод,0,,,,,,,,,,,,,,,,,,721,675,736,774,357,142,556,221,334,405,1037,269,317,600,118
15-19,Дорнод,1,,,,,,,,,,,,,,,,,,668,273,357,1160,203,98,204,101,56,0,51,190,0,217,350
15-19,Сүхбаатар,0,,,,,,,,,,,,,,,,,,1720,1782,1361,1059,742,687,690,714,647,484,1174,412,649,349,507
15-19,Сүхбаатар,1,,,,,,,,,,,,,,,,,,826,1370,708,863,370,228,336,288,80,121,129,47,11,159,99
15-19,Хэнтий,0,,,,,,,,,,,,,,,,,,406,475,969,1448,791,413,507,212,432,848,832,1108,483,341,484
15-19,Хэнтий,1,,,,,,,,,,,,,,,,,,0,295,430,968,333,57,55,269,59,188,64,205,499,128,30
15-19,Улаанбаатар,0,,,,,,,,,,,,,,,,,,4192,3271,3307,4329,2962,2870,3645,3203,2433,6948,6698,4498,5284,6232,5138
15-19,Улаанбаатар,1,,,,,,,,,,,,,,,,,,2452,1589,2236,2349,1469,2831,2412,1471,2289,1618,2994,2509,1523,2630,2408
15-19,Улаанбаатар,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6232,5138
15-19,Улаанбаатар,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630,2408
15-19,Хан-Уул,0,,,,,,,,,,,,,,,,,,249,0,194,217,205,470,522,559,249,501,629,655,513,983,1007
15-19,Хан-Уул,1,,,,,,,,,,,,,,,,,,192,0,0,237,138,284,176,0,252,210,157,655,170,492,288
15-19,Багануур Багахангай,0,,,,,,,,,,,,,,,,,,378,269,123,114,57,74,36,68,0,162,212,196,208,55,29
15-19,Багануур Багахангай,1,,,,,,,,,,,,,,,,,,87,0,165,292,0,32,61,36,0,0,0,0,313,0,0
15-19,Баянзүрх,0,,,,,,,,,,,,,,,,,,567,799,1192,855,854,458,625,331,456,1536,1539,2176,2223,2379,2484
15-19,Баянзүрх,1,,,,,,,,,,,,,,,,,,391,284,789,411,328,505,359,170,906,358,154,0,172,340,1147
15-19,Налайх,0,,,,,,,,,,,,,,,,,,676,237,155,208,120,86,324,289,459,346,,,,166,109
15-19,Налайх,1,,,,,,,,,,,,,,,,,,103,0,116,170,92,57,233,96,36,167,,,,0,212
15-19,Баянгол,0,,,,,,,,,,,,,,,,,,199,446,337,388,194,282,199,100,354,1213,0,0,407,407,221
15-19,Баянгол,1,,,,,,,,,,,,,,,,,,199,87,364,403,216,336,450,114,226,112,0,604,613,102,332
15-19,Сүхбаатар,0,,,,,,,,,,,,,,,,,,212,340,436,460,156,289,352,81,69,287,0,0,513,509,262
15-19,Сүхбаатар,1,,,,,,,,,,,,,,,,,,0,481,577,154,0,179,149,147,174,0,248,0,128,425,262
15-19,Чингэлтэй,0,,,,,,,,,,,,,,,,,,768,435,134,1158,512,432,384,648,258,718,257,126,504,415,251
15-19,Чингэлтэй,1,,,,,,,,,,,,,,,,,,324,194,0,333,327,431,407,236,84,297,0,503,126,249,168
15-19,Сонгинохайрхан,0,,,,,,,,,,,,,,,,,,1143,745,736,929,864,779,1203,1127,588,2185,4061,1345,916,1316,775
15-19,Сонгинохайрхан,1,,,,,,,,,,,,,,,,,,1156,543,225,349,368,1007,577,672,611,474,2435,747,0,1024,0
20-24,country,0,,,,,,,,,,,,,,,,,,78315,74477,67769,69906,69249,65999,63010,62785,60251,62034,55597,55368,48863,52133,58515
20-24,country,1,,,,,,,,,,,,,,,,,,63854,56770,51858,51236,54919,47294,46899,40469,40504,44178,38231,40572,34683,39461,29507
20-24,Баян-Өлгий,0,,,,,,,,,,,,,,,,,,2566,2527,2685,2734,2453,3215,3272,2490,3783,3126,2317,3056,2856,2146,3191
20-24,Баян-Өлгий,1,,,,,,,,,,,,,,,,,,2632,2132,3007,3550,2659,3216,3263,2279,2405,2862,2105,1024,2348,1912,953
20-24,Говь-Алтай,0,,,,,,,,,,,,,,,,,,1715,1579,1173,1834,1373,1607,1130,1042,1234,1025,857,1164,1198,631,553
20-24,Говь-Алтай,1,,,,,,,,,,,,,,,,,,853,1470,1281,991,1009,949,1059,754,989,713,1143,963,669,287,228
20-24,Завхан,0,,,,,,,,,,,,,,,,,,1553,2571,1921,2225,2152,1485,931,1094,909,1102,512,560,548,986,1096
20-24,Завхан,1,,,,,,,,,,,,,,,,,,1969,1625,1684,1317,2048,644,600,693,557,619,592,232,909,409,478
