"Статистик үзүүлэлт","Аймаг","Хүйс","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"15-19","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","2,452","1,589","2,236","2,349","1,469","2,831","2,412","1,471","2,289","1,618","2,994","2,509","1,523","2,630","2,408"
"15-19","Улаанбаатар","Эрэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6,232","5,138"
"15-19","Улаанбаатар","Эмэгтэй","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2,630","2,408"
"15-19","Хан-Уул","Эрэгтэй","","","","","","","","","","","","","","","","","","249","0","194","217","205","470","522","559","249","501","629","655","513","983","1,007"
"15-19","Хан-Уул","Эмэгтэй","","","","","","","","","","","","","","","","","","192","0","0","237","138","284","176","0","252","210","157","655","170","492","288"
"15-19","Багануур Багахангай","Эрэгтэй","","","","","","","","","","","","","","","","","","378","269","123","114","57","74","36","68","0","162","212","196","208","55","29"
"15-19","Багануур Багахангай","Эмэгтэй","","","","","","","","","","","","","","","","","","87","0","165","292","0","32","61","36","0","0","0","0","313","0","0"
"15-19","Баянзүрх","Эрэгтэй","","","","","","","","","","","","","","","","","","567","799","1,192","855","854","458","625","331","456","1,536","1,539","2,176","2,223","2,379","2,484"
"15-19","Баянзүрх","Эмэгтэй","","","","","","","","","","","","","","","","","","391","284","789","411","328","505","359","170","906","358","154","0","172","340","1,147"
"15-19","Налайх","Эрэгтэй","","","","","","","","","","","","","","","","","","676","237","155","208","120","86","324","289","459","346","","","","166","109"
"15-19","Налайх","Эмэгтэй","","","","","","","","","","","","","","","","","","103","0","116","170","92","57","233","96","36","167","","","","0","212"
"15-19","Баянгол","Эрэгтэй","","","","","","","","","","","","","","","","","","199","446","337","388","194","282","199","100","354","1,213","0","0","407","407","221"
"15-19","Баянгол","Эмэгтэй","","","","","","","","","","","","","","","","","","199","87","364","403","216","336","450","114","226","112","0","604","613","102","332"
